Summary,Issue Type,Priority,Description,Labels,Epic Link
"Zombie site (neobrutalist, orange)",Epic,Highest,"One-page marketing site: neobrutalist art direction, orange primary, freely licensed zombie photography. Demo build exists and is deployed internally.",design;web,
Decide what the site is actually for,Task,Highest,"Audience, the single primary action, and who signs off on copy. Everything copy-related is blocked until this is answered.",discovery,"Zombie site (neobrutalist, orange)"
Create GitHub repo and push the existing build,Task,Highest,Repo name fabled-zombie-site. The build is already a local git repo with one commit; needs a remote and push access.,infra,"Zombie site (neobrutalist, orange)"
Neobrutalist design system,Story,High,"DONE in demo. CSS custom properties: --orange #ff5a1f, --ink #0b0b0b, --paper #fff6ea, 3px borders, 6px hard shadows, no gradients.",design,"Zombie site (neobrutalist, orange)"
"Hero, marquee and stats band",Story,High,"DONE in demo. Rotated hero image, highlighted headline, one marquee, four-cell stats strip.",frontend,"Zombie site (neobrutalist, orange)"
Zombie gallery with lightbox,Story,High,"DONE in demo. 12 Wikimedia Commons images, grayscale-to-colour hover, native dialog lightbox, keyboard reachable.",frontend,"Zombie site (neobrutalist, orange)"
Image attribution pipeline,Story,High,"DONE in demo. img/credits.json drives per-image captions, the footer credit list and a generated CREDITS.md.",legal;frontend,"Zombie site (neobrutalist, orange)"
"Content sections: cards, tiers, FAQ, CTA, footer",Story,Medium,"DONE in demo, with placeholder copy.",frontend,"Zombie site (neobrutalist, orange)"
Write real copy,Story,High,Replace all placeholder copy. Blocked on the brief.,content,"Zombie site (neobrutalist, orange)"
Mobile and tablet pass,Story,High,"Verify at 360, 768 and 1024 on real devices. Nav collapses to nothing below 760px and needs a real mobile menu.",frontend,"Zombie site (neobrutalist, orange)"
Accessibility audit,Story,High,"Contrast ratios on orange-on-paper and ink-on-orange, keyboard order, screen-reader pass, focus visibility. Reduced-motion is already handled.",a11y,"Zombie site (neobrutalist, orange)"
Self-host the fonts,Task,Medium,Archivo Black and Space Grotesk currently load from Google Fonts. Self-host with woff2 subsets and font-display swap.,perf;privacy,"Zombie site (neobrutalist, orange)"
Performance and image delivery,Task,Medium,"Responsive srcset, WebP/AVIF variants, first-load budget under 1 MB. Images are currently 1100px JPEG, 1.6 MB total.",perf,"Zombie site (neobrutalist, orange)"
Legal review of the image set,Task,Medium,"All 12 images are CC BY, CC BY-SA, public domain or Free Art License with attribution kept. Confirm brand comfort with zombie-walk photos of identifiable people.",legal,"Zombie site (neobrutalist, orange)"
"Hosting, domain and deploy",Task,High,"Decide host and domain, TLS, and deploy-on-merge to main. Currently served by a 40-line Node static server.",infra,"Zombie site (neobrutalist, orange)"
SEO and share cards,Task,Low,"OG/Twitter image, meta description, sitemap.xml, robots.txt, full favicon set. Only an inline SVG favicon exists.",seo,"Zombie site (neobrutalist, orange)"
